,2021-02,2021-04,2021-05,2021-06,2021-07,2022-11,2022-12
B100,0,1,0,3,0,0,0
B101,0,0,0,1,0,0,0
B107,0,0,0,0,0,1,0
B14,0,0,0,1,0,0,0
B27,1,0,4,3,3,0,1
B3,0,1,2,0,1,0,0
B4,0,0,0,1,0,0,0
B42,0,0,0,0,0,1,2
B48,0,0,0,0,0,2,2
B6,0,4,16,32,8,0,0
B70,0,0,1,0,0,4,4
B72,0,0,0,0,0,1,0
B83,0,0,0,0,0,4,1
B91,0,1,2,0,0,0,0
B92,0,0,0,0,0,3,7
